date,description,category,amount
2026-05-07,Salary,Income,3830.0
2026-05-10,PTPTN,Loan,-181.7
2026-05-07,Rumah Sewa,Commitment,-56.0
2026-05-07,Rumah Family,Commitment,-100.0
2026-05-05,ASB,Loan,-424.0
2026-05-10,Medical,Commitment,-200.0
2026-05-07,Netflix,Entertainment,-63.0
2026-05-07,Setel,Transport,-100.0
2026-05-07,Shoes,Shopping,-200.0
2026-05-07,Zakat,Commitment,-69.0
2026-05-07,Parents,Commitment,-250.0
2026-05-07,Prepaid,Commitment,-75.0
2026-05-07,Scooter,Transport,-100.0
2026-05-07,Travel,Tabung,-200.0
2026-05-07,Toiletries,Shopping,-100.0
2026-05-07,Facial,Tabung,-100.0
2026-05-07,Car,Loan,-1300.0
